SWL,ALW,GCB,SCB,GGBL,MLC,PBC,UNIL,HFC,CMLT,FML
264.0,1412.5,547.0,5800.0,165.33333333333334,42.0,515.0,843.3333333333334,103.0,413.3333333333333,349.0
264.0,1412.5,547.0,5816.666666666667,176.66666666666666,39.333333333333336,515.0,839.6666666666666,103.0,413.3333333333333,343.3333333333333
264.0,1412.5,547.0,5819.333333333333,175.0,37.333333333333336,515.0,836.6666666666666,103.0,413.3333333333333,343.3333333333333
264.0,1412.5,547.0,5855.333333333333,186.66666666666666,36.333333333333336,515.0,835.0,103.0,413.3333333333333,340.0
264.0,1412.5,547.0,5896.666666666667,187.66666666666666,38.0,515.0,824.0,103.0,413.3333333333333,331.6666666666667
264.0,1412.5,547.0,5873.333333333333,189.66666666666666,38.0,515.0,826.0,103.0,413.3333333333333,323.6666666666667
264.0,1412.5,547.0,5900.0,190.0,37.666666666666664,515.0,827.0,103.0,413.3333333333333,316.6666666666667
264.0,1412.5,547.0,5850.0,190.0,36.333333333333336,515.0,826.0,103.0,413.3333333333333,310.0
264.0,1412.5,547.0,5850.0,190.0,35.0,515.0,817.0,103.0,413.3333333333333,301.3333333333333
264.0,1412.5,547.0,5850.0,190.5,35.0,515.0,810.0,103.0,413.3333333333333,298.5
264.0,1412.5,547.0,5840.0,191.33333333333334,35.0,515.0,810.0,103.0,413.3333333333333,294.0
264.0,1412.5,547.0,5836.666666666667,191.33333333333334,35.0,515.0,809.0,103.0,413.3333333333333,290.6666666666667
264.0,1412.5,547.0,5830.0,191.0,35.0,515.0,809.0,103.0,413.3333333333333,290.0
264.0,1412.5,547.0,5830.0,191.0,35.0,515.0,809.0,103.0,413.3333333333333,290.0
264.0,1412.5,547.0,5830.0,191.0,35.0,515.0,809.0,103.0,413.3333333333333,286.0
264.0,1412.5,547.0,5830.0,194.33333333333334,35.0,515.0,806.0,103.0,413.3333333333333,282.0
264.0,1412.5,547.0,5816.666666666667,202.0,35.0,515.0,801.3333333333334,103.0,413.3333333333333,281.0
264.0,1412.5,547.0,5810.0,204.0,35.0,515.0,800.0,103.0,413.3333333333333,278.0
264.0,1412.5,547.0,5800.0,204.0,35.0,515.0,800.0,103.0,413.3333333333333,273.0
264.0,1412.5,547.0,5800.0,204.0,35.0,515.0,800.0,103.0,413.3333333333333,264.3333333333333
264.0,1412.5,547.0,5800.0,204.0,35.0,515.0,808.3333333333334,103.0,413.3333333333333,262.6666666666667
264.0,1412.5,547.0,5933.333333333333,203.33333333333334,36.333333333333336,515.0,810.0,103.0,413.3333333333333,262.0
264.0,1412.5,547.0,5800.0,202.0,38.5,515.0,810.0,103.0,413.3333333333333,250.0
264.0,1412.5,547.0,5800.0,202.0,48.666666666666664,515.0,810.0,103.0,413.3333333333333,240.0
264.0,1412.5,547.0,5800.0,202.0,60.0,515.0,810.0,103.0,413.3333333333333,236.66666666666666
264.0,1412.5,547.0,5800.0,202.0,58.0,515.0,810.6666666666666,107.33333333333333,413.3333333333333,229.0
264.0,1412.5,547.0,5800.0,200.66666666666666,58.0,515.0,812.3333333333334,117.66666666666667,413.3333333333333,228.0
264.0,1412.5,547.0,5800.0,200.0,57.5,515.0,812.0,121.0,413.3333333333333,200.25
264.0,1412.5,547.0,5800.0,200.0,57.0,515.0,812.0,121.0,413.3333333333333,200.0
264.0,1412.5,547.0,5800.0,200.0,56.5,515.0,811.5,121.0,413.3333333333333,202.75
264.0,1412.5,547.0,5800.0,201.0,54.0,515.0,811.0,121.0,413.3333333333333,206.0
264.0,1412.5,547.0,5800.0,200.0,55.25,515.0,811.25,121.0,413.3333333333333,207.0
264.0,1412.5,547.0,5800.0,200.0,57.5,515.0,812.0,121.0,413.3333333333333,208.0
264.0,1412.5,547.0,5800.0,200.0,59.0,515.0,815.3333333333334,121.0,413.3333333333333,212.33333333333334
264.0,1412.5,547.0,5800.0,198.33333333333334,58.0,515.0,817.0,121.0,413.3333333333333,215.0
264.0,1412.5,547.0,5500.0,202.5,57.0,515.0,825.0,121.0,413.3333333333333,215.0
264.0,1412.5,547.0,5400.0,205.5,57.0,515.0,840.0,121.0,413.3333333333333,218.75
264.0,1412.5,547.0,5400.0,206.0,57.0,515.0,842.6666666666666,121.0,413.3333333333333,220.0
264.0,1412.5,547.0,5326.666666666667,206.0,57.0,515.0,841.6666666666666,120.0,413.3333333333333,220.0
264.0,1412.5,547.0,5400.0,210.0,57.0,515.0,841.0,119.5,413.3333333333333,220.0
264.0,1412.5,547.0,5400.0,210.0,56.25,515.0,841.0,119.0,413.3333333333333,219.0
264.0,1412.5,547.0,5396.666666666667,210.0,55.333333333333336,515.0,841.0,119.0,413.3333333333333,218.0
264.0,1412.5,547.0,5400.0,210.0,55.0,515.0,841.0,119.0,413.3333333333333,218.0
264.0,1412.5,547.0,5433.333333333333,210.0,55.0,515.0,841.0,118.0,413.3333333333333,217.33333333333334
264.0,1412.5,547.0,5566.666666666667,210.0,55.0,515.0,841.0,115.33333333333333,413.3333333333333,214.66666666666666
264.0,1412.5,547.0,5720.0,210.0,55.0,515.0,839.3333333333334,118.0,413.3333333333333,210.0
264.0,1412.5,547.0,5730.0,210.0,55.0,515.0,837.0,119.0,413.3333333333333,210.66666666666666
264.0,1412.5,547.0,5730.0,210.0,54.333333333333336,515.0,838.0,119.0,413.3333333333333,212.66666666666666
264.0,1412.5,547.0,5700.0,196.66666666666666,53.0,515.0,837.3333333333334,119.0,413.3333333333333,213.33333333333334
264.0,1412.5,547.0,5646.666666666667,204.33333333333334,53.0,515.0,837.0,119.0,413.3333333333333,215.0
264.0,1412.5,547.0,5620.0,205.0,53.0,515.0,837.0,117.66666666666667,413.3333333333333,217.0
264.0,1412.5,547.0,5600.0,209.0,52.333333333333336,515.0,837.3333333333334,118.66666666666667,413.3333333333333,223.33333333333334
264.0,1412.5,547.0,5600.0,213.0,52.0,515.0,840.0,119.0,413.3333333333333,243.66666666666666
264.0,1412.5,547.0,5650.0,218.0,50.0,515.0,861.3333333333334,119.0,413.3333333333333,263.3333333333333
264.0,1412.5,547.0,5666.666666666667,223.33333333333334,50.0,515.0,890.0,119.0,413.3333333333333,277.3333333333333
264.0,1412.5,547.0,5866.666666666667,225.0,45.0,515.0,890.0,116.0,413.3333333333333,293.6666666666667
264.0,1412.5,547.0,5900.0,225.0,43.0,515.0,890.0,116.0,413.3333333333333,335.0
264.0,1412.5,547.0,5900.0,225.0,43.0,515.0,890.0,115.0,413.3333333333333,354.3333333333333
264.0,1412.5,547.0,5900.0,225.0,44.333333333333336,515.0,890.0,115.0,413.3333333333333,364.0
264.0,1412.5,547.0,5900.0,225.0,45.0,515.0,890.0,115.0,413.3333333333333,370.0
264.0,1412.5,547.0,5700.0,218.33333333333334,43.333333333333336,515.0,856.6666666666666,115.66666666666667,413.3333333333333,350.0
264.0,1412.5,547.0,5800.0,223.0,49.0,515.0,870.0,120.0,413.3333333333333,360.0
