DATE,Tun
23/10/2013,0.0009661
24/10/2013,-0.0029716
25/10/2013,0.0029249
28/10/2013,0.0070038
29/10/2013,0.0023203
30/10/2013,-0.0073957
31/10/2013,0.0020885
06/11/2013,-0.0006504
07/11/2013,0.0007925
08/11/2013,0.0049191
12/11/2013,0.0023136
13/11/2013,0.0015163
14/11/2013,-0.0002089
15/11/2013,-0.0037098
19/11/2013,-0.0040064
20/11/2013,0.0006037
21/11/2013,0.0017815
22/11/2013,-0.0019484
25/11/2013,-0.0007944
26/11/2013,-0.0039616
27/11/2013,0.0000944
29/11/2013,-0.0013971
02/12/2013,-2.86E-06
03/12/2013,-0.0009155
04/12/2013,-0.0000896
09/12/2013,-0.0008249
10/12/2013,-0.0036325
11/12/2013,-0.0041885
16/12/2013,-0.0023937
17/12/2013,-0.0069876
18/12/2013,-0.0056906
19/12/2013,0.000411
20/12/2013,0.0008869
23/12/2013,-0.0036297
24/12/2013,-0.0023212
27/12/2013,0.0012007
30/12/2013,-0.0013103
31/12/2013,0.0010662
03/01/2014,-0.0061274
06/01/2014,-0.0053234
07/01/2014,-0.0042419
15/01/2014,0.0045977
16/01/2014,0.0001526
21/01/2014,-0.0006456
22/01/2014,0.0006733
23/01/2014,0.0000954
24/01/2014,0.0055456
28/01/2014,0.0025854
29/01/2014,-0.0016098
30/01/2014,0.0043955
03/02/2014,0.0037918
04/02/2014,0.0036583
05/02/2014,0.0057669
07/02/2014,0.0075798
10/02/2014,0.0055761
11/02/2014,-0.0012627
12/02/2014,0.0005951
14/02/2014,0.002717
18/02/2014,-0.0021811
19/02/2014,-0.0003338
20/02/2014,0.0055504
21/02/2014,0.0041018
25/02/2014,-0.0023575
26/02/2014,0.0023003
27/02/2014,0.0016994
03/03/2014,-0.004446
04/03/2014,-0.0046453
07/03/2014,-0.0084677
10/03/2014,-0.0024681
11/03/2014,-0.0056648
13/03/2014,0.0005255
14/03/2014,0.0070057
17/03/2014,0.0028934
18/03/2014,2.86E-06
21/03/2014,-0.0013971
24/03/2014,-0.0040493
25/03/2014,0.0019865
26/03/2014,-0.0024986
27/03/2014,-0.0023928
28/03/2014,0.0006132
01/04/2014,0.0003004
02/04/2014,-0.0027056
03/04/2014,-0.0004005
04/04/2014,0.004137
07/04/2014,-0.0022182
08/04/2014,0.0005121
10/04/2014,0.004528
11/04/2014,-0.0043802
14/04/2014,-0.0028553
15/04/2014,-0.0043907
16/04/2014,0.0000792
17/04/2014,-0.0037794
22/04/2014,-0.0001469
23/04/2014,-0.0023174
24/04/2014,-0.0000639
25/04/2014,-0.0007486
28/04/2014,-0.0028639
29/04/2014,-0.0051079
30/04/2014,-0.0008621
02/05/2014,0.0042601
05/05/2014,-0.000906
06/05/2014,0.0005913
07/05/2014,-0.0002775
08/05/2014,0.0010519
09/05/2014,0.0017986
12/05/2014,0.0024414
13/05/2014,-0.0006495
14/05/2014,-0.0016699
15/05/2014,0.0019531
16/05/2014,0.0038786
19/05/2014,0.0027952
20/05/2014,0.0036564
21/05/2014,-0.0006542
22/05/2014,-0.0023861
23/05/2014,-0.0054312
27/05/2014,-0.0030661
28/05/2014,-0.00317
29/05/2014,-0.0010128
30/05/2014,0.0078745
03/06/2014,-0.0033216
04/06/2014,-0.0063763
05/06/2014,0.0006695
06/06/2014,0.0057173
09/06/2014,-0.0013943
10/06/2014,0.0060091
11/06/2014,0.0066462
12/06/2014,-0.0038424
13/06/2014,-0.0055962
16/06/2014,0.000288
17/06/2014,0.0013962
18/06/2014,-0.001564
19/06/2014,0.0025864
20/06/2014,0.0068674
23/06/2014,0.0006008
24/06/2014,0.0030375
25/06/2014,-0.0005713
26/06/2014,-0.001338
27/06/2014,-0.0002909
30/06/2014,-0.0007553
02/07/2014,-0.0008631
03/07/2014,0.002635
07/07/2014,0.0054235
08/07/2014,0.0073051
09/07/2014,-0.0024052
10/07/2014,0.0000534
14/07/2014,-0.0004978
15/07/2014,-0.0012608
16/07/2014,0.0020952
17/07/2014,-0.0010462
18/07/2014,0.0046387
21/07/2014,0.0043468
22/07/2014,0.0033569
23/07/2014,0.0000534
24/07/2014,-0.0014887
31/07/2014,-0.0020733
01/08/2014,0.0029688
04/08/2014,-0.0052223
05/08/2014,0.0032692
06/08/2014,-0.0003443
07/08/2014,0.001461
08/08/2014,-0.0041952
11/08/2014,0.0002728
12/08/2014,0.0001135
14/08/2014,0.000638
18/08/2014,0.0005331
19/08/2014,0.0018377
20/08/2014,0.0029726
21/08/2014,0.0066252
22/08/2014,-0.0024099
25/08/2014,-0.0018034
26/08/2014,0.0019627
27/08/2014,-0.001935
28/08/2014,-0.0014486
29/08/2014,-0.0004721
02/09/2014,-0.0039949
03/09/2014,-0.0003471
04/09/2014,0.0000553
05/09/2014,0.0007334
09/09/2014,0.0011902
10/09/2014,-0.0021467
